name,short_name,field
SUNVEST CORPORATION LIMITED,SVS,Not Applic
SUPER RETAIL GROUP LIMITED,SUL,Retailing
SUPERIOR LAKE RESOURCES LIMITED,SUP,Materials
SUPERIOR RESOURCES LIMITED,SPQ,Materials
SUPERLOOP LIMITED,SLC,Telecommunication Services
SUPPLY NETWORK LIMITED,SNL,Retailing
SUREFIRE RESOURCES NL,SRN,Materials
SUVO STRATEGIC MINERALS LIMITED,SUV,Materials
SWICK MINING SERVICES LTD,SWK,Materials
SWIFT MEDIA LIMITED,SW1,Media & Entertainment
SYDNEY AIRPORT,SYD,Transportation
SYMBOL MINING LIMITED,SL1,Materials
SYNERTEC CORPORATION LIMITED,SOP,Commercial & Professional Services
SYNGAS LIMITED,SYS,Energy
SYNLAIT MILK LIMITED,SM1,"Food, Beverage & Tobacco"
SYNTONIC LIMITED,SYT,Software & Services
SYRAH RESOURCES LIMITED,SYR,Materials
TABCORP HOLDINGS LIMITED,TAH,Consumer Services
TALGA RESOURCES LTD,TLG,Materials
TALI DIGITAL LIMITED,TD1,Health Care Equipment & Services
TALISMAN MINING LIMITED,TLM,Materials
TALON PETROLEUM LIMITED,TPD,Energy
TAMASKA OIL AND GAS LTD,TMK,Energy
TAMAWOOD LIMITED,TWD,Consumer Durables & Apparel
TANAMI GOLD NL,TAM,Materials
TANGA RESOURCES LIMITED,TRL,Materials
TAO COMMODITIES LTD,TAO,Materials
TAP OIL LIMITED,TAP,Energy
TARUGA MINERALS LIMITED,TAR,Materials
TASFOODS LIMITED,TFL,"Food, Beverage & Tobacco"
TASMAN RESOURCES LTD,TAS,Materials
TASSAL GROUP LIMITED,TGR,"Food, Beverage & Tobacco"
TBG DIAGNOSTICS LIMITED,TDL,"Pharmaceuticals, Biotechnology & Life Sciences"
TEAMINVEST PRIVATE GROUP LIMITED,TIP,Diversified Financials
TECHNICHE LIMITED.,TCN,Software & Services
TECHNOLOGY METALS AUSTRALIA LIMITED,TMT,Materials
TECHNOLOGY ONE LIMITED,TNE,Software & Services
TELIX PHARMACEUTICALS LIMITED,TLX,"Pharmaceuticals, Biotechnology & Life Sciences"
TELSTRA CORPORATION LIMITED.,TLS,Telecommunication Services
TEMPLE & WEBSTER GROUP LTD,TPW,Retailing
TEMPLETON GLOBAL GROWTH FUND LIMITED,TGG,Not Applic
TEMPO AUSTRALIA LTD,TPP,Commercial & Professional Services
TEMPUS RESOURCES LTD,TMR,Materials
TERRACOM LIMITED,TER,Energy
TERRAGEN HOLDINGS LIMITED,TGH,Materials
TERRAIN MINERALS LIMITED,TMX,Materials
TERRAMIN AUSTRALIA LIMITED.,TZN,Materials
TESORO RESOURCES LIMITED,TSO,Materials
TESSERENT LIMITED,TNT,Software & Services
TEST SECURITY,TES,Class Pend
THC GLOBAL GROUP LIMITED,THC,"Pharmaceuticals, Biotechnology & Life Sciences"
THE A2 MILK COMPANY LIMITED,A2M,"Food, Beverage & Tobacco"
THE AGENCY GROUP AUSTRALIA LTD,AU1,Real Estate
THE CITADEL GROUP LIMITED,CGL,Software & Services
THE FOOD REVOLUTION GROUP LIMITED,FOD,"Food, Beverage & Tobacco"
THE GO2 PEOPLE LTD,GO2,Commercial & Professional Services
THE MARKET HERALD LIMITED,TMH,Media & Entertainment
THE PAS GROUP LIMITED,PGR,Retailing
THE REJECT SHOP LIMITED,TRS,Retailing
THE STAR ENTERTAINMENT GROUP LIMITED,SGR,Consumer Services
THEDOCYARD LIMITED,TDY,Software & Services
THETA GOLD MINES LIMITED,TGM,Materials
THINK CHILDCARE GROUP,TNK,Consumer Services
THOMSON RESOURCES LIMITED,TMZ,Materials
THOR MINING PLC,THR,Materials
THORN GROUP LIMITED,TGA,Retailing
THORNEY OPPORTUNITIES LTD,TOP,Not Applic
THORNEY TECHNOLOGIES LTD,TEK,Not Applic
THREAT PROTECT AUSTRALIA LIMITED,TPS,Commercial & Professional Services
THRED LIMITED,THD,Media & Entertainment
TIAN AN AUSTRALIA LIMITED,TIA,Real Estate
TIAN POH RESOURCES LIMITED,TPO,Materials
TIETTO MINERALS LIMITED,TIE,Materials
TIGERS REALM COAL LIMITED,TIG,Materials
TIKFORCE LIMITED,TKF,Software & Services
TILT RENEWABLES LIMITED.,TLT,Utilities
TIMAH RESOURCES LIMITED,TML,Utilities
TINYBEANS GROUP LTD,TNY,Media & Entertainment
TITAN MINERALS LIMITED,TTM,Materials
TITANIUM SANDS LIMITED,TSL,Materials
TITOMIC LIMITED,TTT,Materials
TLOU ENERGY LIMITED,TOU,Energy
TNG LIMITED,TNG,Materials
TNT MINES LIMITED,TIN,Materials
TODD RIVER RESOURCES LIMITED,TRT,Materials
TOMIZONE LIMITED,TOM,Telecommunication Services
TORIAN RESOURCES LIMITED,TNR,Materials
TORO ENERGY LIMITED,TOE,Energy
TORRENS SERIES 2013-1 TRUST,TNB,Not Applic
TORRENS SERIES 2013-2 TRUST,TNF,Not Applic
TORRENS SERIES 2014-1 TRUST,TNH,Not Applic
TORRENS SERIES 2014-2 TRUST,TOZ,Not Applic
TORRENS SERIES 2015-1 TRUST,TNJ,Not Applic
TORRENS SERIES 2016-1 TRUST,TTZ,Not Applic
TOTAL BRAIN LIMITED,TTB,Health Care Equipment & Services
TOWER LIMITED,TWR,Insurance
TPC CONSOLIDATED LIMITED,TPC,Utilities
TPG TELECOM LIMITED.,TPG,Telecommunication Services
TRAFFIC TECHNOLOGIES LTD.,TTI,Transportation
TRAKA RESOURCES LIMITED,TKL,Materials
TRANSCENDENCE TECHNOLOGIES LIMITED,TTL,Software & Services
TRANSMETRO CORPORATION LIMITED,TCO,Consumer Services
TRANSURBAN GROUP,TCL,Transportation
TREASURY CORPORATION OF VICTORIA,XVG,Not Applic
TREASURY WINE ESTATES LIMITED,TWE,"Food, Beverage & Tobacco"
TREK METALS LIMITED,TKM,Materials
TRIANGLE ENERGY (GLOBAL) LIMITED,TEG,Energy
TRIBECA GLOBAL NATURAL RESOURCES LIMITED,TGF,Not Applic
TRIBUNE RESOURCES LIMITED,TBR,Materials
TRIGG MINING LTD.,TMG,Materials
TRIMANTIUM GROWTHOPS LIMITED,TGO,Software & Services
TRIPLE ENERGY LIMITED,TNP,Energy
TRITON MINERALS LTD,TON,Materials
TRITON TRUST NO. 8 IN RESPECT OF BOND SERIES 2018-1,TT9,Not Applic
TRITON TRUST NO. 8 IN RESPECT OF THE BOND SERIES 2019-2,TT1,Not Applic
TRITON TRUST NO.7 IN RESPECT OF THE BOND SERIES 2017-2,TT7,Not Applic
TRITON TRUST NO.8 IN RESPECT OF THE BOND SERIES 2019-3,TT3,Not Applic
TROY RESOURCES LIMITED,TRY,Materials
TRUSCOTT MINING CORPORATION LIMITED,TRM,Materials
TTA HOLDINGS LIMITED,TTA,Retailing
TUAS LIMITED,TUA,Telecommunication Services
TUBI LIMITED,2BE,Energy
TUNGSTEN MINING NL,TGN,Materials
TURNERS AUTOMOTIVE GROUP LIMITED,TRA,Retailing
TV2U INTERNATIONAL LIMITED,TV2,Software & Services
TWENTY SEVEN CO. LIMITED,TSC,Energy
TYMLEZ GROUP LIMITED,TYM,Software & Services
TYRANNA RESOURCES LIMITED,TYX,Materials
TYRO PAYMENTS LIMITED,TYR,Software & Services
TZ LIMITED,TZL,Technology Hardware & Equipment
UCW LIMITED,UCW,Consumer Services
ULTIMA UNITED LIMITED,UUL,Real Estate
UNIBAIL-RODAMCO-WESTFIELD,URW,Real Estate
UNITED MALT GROUP LIMITED,UMG,"Food, Beverage & Tobacco"
UNITED NETWORKS LIMITED,UNL,Telecommunication Services
UNITED OVERSEAS AUSTRALIA LIMITED,UOS,Real Estate
UNITI GROUP LIMITED,UWL,Telecommunication Services
UNIVERSAL BIOSENSORS INC.,UBI,Health Care Equipment & Services
URBANISE.COM LIMITED,UBN,Software & Services
US MASTERS RESIDENTIAL PROPERTY FUND,URF,Real Estate
USCOM LIMITED,UCM,Health Care Equipment & Services
UUV AQUABOTIX LTD,UUV,Capital Goods
VALMEC LIMITED,VMX,Energy
VALOR RESOURCES LIMITED,VAL,Materials
VANADIUM RESOURCES LIMITED,VR8,Materials
VANGO MINING LIMITED,VAN,Materials
VARISCAN MINES LIMITED,VAR,Materials
VAULT INTELLIGENCE LIMITED,VLT,Software & Services
VDM GROUP LIMITED,VMG,Capital Goods
VECTION TECHNOLOGIES LTD,VR1,Software & Services
VECTOR RESOURCES LIMITED,VEC,Materials
VECTUS BIOSYSTEMS LIMITED,VBS,"Pharmaceuticals, Biotechnology & Life Sciences"
VEEM LTD,VEE,Capital Goods
VELOCITY PROPERTY GROUP LIMITED,VP7,Real Estate
VENTURE MINERALS LIMITED,VMS,Materials
VENTUREX RESOURCES LIMITED,VXR,Materials
VENUS METALS CORPORATION LIMITED,VMC,Materials
VERIS LIMITED,VRS,Commercial & Professional Services
VERMILION TRUST NO.1 BOND SERIES 2019-1,VT1,Not Applic
VGI PARTNERS ASIAN INVESTMENTS LIMITED,VG8,Not Applic
VGI PARTNERS GLOBAL INVESTMENTS LIMITED,VG1,Not Applic
VGI PARTNERS LIMITED,VGI,Diversified Financials
VIAGOLD RARE EARTH RESOURCES HOLDINGS LIMITED,VIA,Materials
VICINITY CENTRES,VCX,Real Estate
VICINITY CENTRES TRUST,VCD,Not Applic
VICTOR GROUP HOLDINGS LIMITED,VIG,Software & Services
VICTORY MINES LIMITED,VIC,Materials
VICTORY OFFICES LIMITED,VOL,Real Estate
VIETNAM INDUSTRIAL INVESTMENTS LIMITED,VII,Materials
VIKING MINES LIMITED,VKA,Materials
VILLAGE ROADSHOW LIMITED,VRL,Media & Entertainment
VIMY RESOURCES LIMITED,VMY,Energy
VINTAGE ENERGY LTD,VEN,Energy
VIP GLOVES LTD,VIP,Health Care Equipment & Services
VIRGIN AUSTRALIA HOLDINGS LIMITED,VAH,Transportation
VIRGIN MONEY UK PLC,VUK,Banks
VIRTUS HEALTH LIMITED,VRT,Health Care Equipment & Services
"VISIONEERING TECHNOLOGIES, INC.",VTI,Health Care Equipment & Services
VISTA GROUP INTERNATIONAL LIMITED.,VGL,Software & Services
VITA GROUP LIMITED,VTG,Retailing
VITA LIFE SCIENCES LIMITED..,VLS,"Pharmaceuticals, Biotechnology & Life Sciences"
VITAL METALS LIMITED,VML,Materials
VITALHARVEST FREEHOLD TRUST,VTH,Real Estate
VIVA ENERGY GROUP LIMITED,VEA,Energy
VIVA LEISURE LIMITED,VVA,Consumer Services
VMOTO LIMITED,VMT,Automobiles & Components
VOCUS GROUP LIMITED,VOC,Telecommunication Services
VODAFONE GROUP PLC.,VPG,Not Applic
VOLPARA HEALTH TECHNOLOGIES LIMITED,VHT,Health Care Equipment & Services
VOLT POWER GROUP LIMITED,VPR,Utilities
VOLT RESOURCES LIMITED,VRC,Materials
VONEX LIMITED..,VN8,Telecommunication Services
VORTIV LIMITED,VOR,Software & Services
VPCL LTD,VPC,Not Applic
VRX SILICA LIMITED,VRX,Materials
VULCAN ENERGY RESOURCES LIMITED,VUL,Materials
VYSARN LIMITED,VYS,Materials
WAGNERS HOLDING COMPANY LIMITED,WGN,Materials
WALKABOUT RESOURCES LTD,WKT,Materials
WAM ACTIVE LIMITED,WAA,Not Applic
WAM CAPITAL LIMITED,WAM,Not Applic
WAM GLOBAL LIMITED,WGB,Not Applic
WAM LEADERS LIMITED,WLE,Not Applic
WAM MICROCAP LIMITED,WMI,Not Applic
WAM RESEARCH LIMITED,WAX,Not Applic
WAMEJA LIMITED,WJA,Software & Services
WARREGO ENERGY LIMITED,WGO,Energy
WASHINGTON H SOUL PATTINSON & COMPANY LIMITED,SOL,Energy
WATERCO LIMITED,WAT,Consumer Durables & Apparel
WATTLE HEALTH AUSTRALIA LIMITED,WHA,"Food, Beverage & Tobacco"
WAYPOINT REIT,WPR,Real Estate
WCM GLOBAL GROWTH LIMITED,WQG,Not Applic
WEA FINANCE LLC,WEH,Not Applic
WEA FINANCE LLC AND WESTFIELD UK & EUROPE FINANCE PLC,WEF,Not Applic
WEBCENTRAL GROUP LIMITED.,WCG,Software & Services
WEBJET LIMITED,WEB,Retailing
WEEBIT NANO LTD,WBT,Technology Hardware & Equipment
WELLARD LIMITED,WLD,"Food, Beverage & Tobacco"
WELLNESS AND BEAUTY SOLUTIONS LIMITED,WNB,Consumer Services
WESFARMERS LIMITED,WES,Retailing
WEST AFRICAN RESOURCES LIMITED,WAF,Materials
WEST WITS MINING LIMITED,WWI,Materials
WESTERN AREAS LIMITED,WSA,Materials
WESTFIELD UK & EUROPE FINANCE PLC,WEN,Not Applic
WESTGOLD RESOURCES LIMITED.,WGX,Materials
WESTOZ INVESTMENT COMPANY LIMITED,WIC,Not Applic
WESTPAC BANKING CORPORATION,WBC,Banks
WESTSTAR INDUSTRIAL LIMITED,WSI,Materials
WHISPIR LIMITED,WSP,Software & Services
WHITE CLIFF MINERALS LIMITED,WCN,Materials
WHITE ENERGY COMPANY LIMITED,WEC,Energy
WHITE ROCK MINERALS LIMITED,WRM,Materials
WHITEBARK ENERGY LTD,WBE,Energy
WHITEFIELD LIMITED,WHF,Not Applic
WHITEHAVEN COAL LIMITED,WHC,Energy
WHITEHAWK LIMITED,WHK,Retailing
WIDE OPEN AGRICULTURE LTD,WOA,"Food, Beverage & Tobacco"
WILDCAT RESOURCES LIMITED,WC8,Materials
WILUNA MINING CORPORATION LIMITED,WMX,Materials
WINCHESTER ENERGY LTD,WEL,Energy
WINGARA AG LTD,WNR,"Food, Beverage & Tobacco"
WISETECH GLOBAL LIMITED,WTC,Software & Services
WISEWAY GROUP LIMITED,WWG,Transportation
WISR LIMITED,WZR,Diversified Financials
WOLF MINERALS LIMITED,WLF,Materials
WOLLONGONG COAL LIMITED,WLC,Materials
WOODSIDE PETROLEUM LTD,WPL,Energy
WOOLWORTHS GROUP LIMITED,WOW,Food & Staples Retailing
WOOMERA MINING LIMITED,WML,Materials
WORLEY LIMITED,WOR,Energy
WPP AUNZ LTD,WPP,Media & Entertainment
WT FINANCIAL GROUP LIMITED,WTL,Diversified Financials
XANADU MINES LTD,XAM,Materials
XANTIPPE RESOURCES LIMITED,XTC,Materials
XERO LIMITED,XRO,Software & Services
XPD SOCCER GEAR GROUP LIMITED,XPD,Consumer Durables & Apparel
XPED LIMITED,XPE,Software & Services
XPLORE WEALTH LIMITED,XPL,Diversified Financials
XREF LIMITED,XF1,Software & Services
XRF SCIENTIFIC LIMITED,XRF,Capital Goods
XSTATE RESOURCES LIMITED,XST,Energy
XTD LTD,XTD,Media & Entertainment
XTEK LIMITED.,XTE,Capital Goods
YANCOAL AUSTRALIA LIMITED,YAL,Energy
YANDAL RESOURCES LIMITED,YRL,Materials
YELLOW BRICK ROAD HOLDINGS LIMITED,YBR,Banks
YOJEE LIMITED,YOJ,Software & Services
YOWIE GROUP LTD,YOW,"Food, Beverage & Tobacco"
YPB GROUP LTD,YPB,Commercial & Professional Services
Z ENERGY LIMITED.,ZEL,Energy
ZELIRA THERAPEUTICS LIMITED,ZLD,"Pharmaceuticals, Biotechnology & Life Sciences"
ZENITH ENERGY LIMITED,ZEN,Utilities
ZENITH MINERALS LIMITED,ZNC,Materials
ZETA RESOURCES LIMITED,ZER,Not Applic
ZEUS RESOURCES LIMITED,ZEU,Energy
ZICOM GROUP LIMITED,ZGL,Capital Goods
ZIMPLATS HOLDINGS LIMITED,ZIM,Materials
ZINC OF IRELAND NL,ZMI,Materials
ZIP CO LIMITED.,Z1P,Diversified Financials
ZIPTEL LIMITED,ZIP,Telecommunication Services
ZOONO GROUP LIMITED,ZNO,Materials
ZYBER HOLDINGS LTD,ZYB,Software & Services
